strategy_number,task_number,equipment_number,functional_location,task_description,strategy_type,frequency_value,frequency_unit,status
PM-COMPRESSOR-C-126,C-126-TASK-01,C-126,PLANT-A/AREA-1/COMPRESSOR-6,Inspect oil level and separator condition,inspection,8,weeks,active
PM-COMPRESSOR-C-126,C-126-TASK-02,C-126,PLANT-A/AREA-1/COMPRESSOR-6,Check discharge temperature and vibration,condition_based,8,weeks,active
PM-FAN-F-127,F-127-TASK-01,F-127,PLANT-A/AREA-2/FAN-6,Inspect fan vibration and belt tension,inspection,12,weeks,active
PM-FAN-F-127,F-127-TASK-02,F-127,PLANT-A/AREA-2/FAN-6,Inspect bearing temperature and lubrication,condition_based,12,weeks,active
PM-HEAT-EXCHANGER-HX-128,HX-128-TASK-01,HX-128,PLANT-A/AREA-3/HEAT-EXCHANGER-6,Inspect temperature approach and pressure drop,inspection,4,weeks,active
PM-HEAT-EXCHANGER-HX-128,HX-128-TASK-02,HX-128,PLANT-A/AREA-3/HEAT-EXCHANGER-6,Inspect for external leakage and corrosion,condition_based,4,weeks,active
PM-PUMP-P-129,P-129-TASK-01,P-129,PLANT-A/AREA-4/PUMP-6,Inspect vibration and bearing temperature,inspection,8,weeks,active
PM-PUMP-P-129,P-129-TASK-02,P-129,PLANT-A/AREA-4/PUMP-6,Inspect mechanical seal leakage,condition_based,8,weeks,active
PM-MOTOR-M-130,M-130-TASK-01,M-130,PLANT-A/AREA-5/MOTOR-6,Clean cooling fins and inspect fan cover,inspection,12,weeks,active
PM-MOTOR-M-130,M-130-TASK-02,M-130,PLANT-A/AREA-5/MOTOR-6,Check motor current and terminal condition,condition_based,12,weeks,active
PM-CONVEYOR-CV-131,CV-131-TASK-01,CV-131,PLANT-A/AREA-1/CONVEYOR-7,Inspect belt tracking and edge wear,inspection,4,weeks,active
PM-CONVEYOR-CV-131,CV-131-TASK-02,CV-131,PLANT-A/AREA-1/CONVEYOR-7,Inspect pulley bearings and guards,condition_based,4,weeks,active
PM-VALVE-V-132,V-132-TASK-01,V-132,PLANT-A/AREA-2/VALVE-7,Stroke test valve and actuator,inspection,8,weeks,active
PM-VALVE-V-132,V-132-TASK-02,V-132,PLANT-A/AREA-2/VALVE-7,Inspect packing and external leakage,condition_based,8,weeks,active
PM-COMPRESSOR-C-133,C-133-TASK-01,C-133,PLANT-A/AREA-3/COMPRESSOR-7,Inspect oil level and separator condition,inspection,12,weeks,active
PM-COMPRESSOR-C-133,C-133-TASK-02,C-133,PLANT-A/AREA-3/COMPRESSOR-7,Check discharge temperature and vibration,condition_based,12,weeks,active
PM-FAN-F-134,F-134-TASK-01,F-134,PLANT-A/AREA-4/FAN-7,Inspect fan vibration and belt tension,inspection,4,weeks,active
PM-FAN-F-134,F-134-TASK-02,F-134,PLANT-A/AREA-4/FAN-7,Inspect bearing temperature and lubrication,condition_based,4,weeks,active
PM-HEAT-EXCHANGER-HX-135,HX-135-TASK-01,HX-135,PLANT-A/AREA-5/HEAT-EXCHANGER-7,Inspect temperature approach and pressure drop,inspection,8,weeks,active
PM-HEAT-EXCHANGER-HX-135,HX-135-TASK-02,HX-135,PLANT-A/AREA-5/HEAT-EXCHANGER-7,Inspect for external leakage and corrosion,condition_based,8,weeks,active
PM-PUMP-P-136,P-136-TASK-01,P-136,PLANT-A/AREA-1/PUMP-8,Inspect vibration and bearing temperature,inspection,12,weeks,active
PM-PUMP-P-136,P-136-TASK-02,P-136,PLANT-A/AREA-1/PUMP-8,Inspect mechanical seal leakage,condition_based,12,weeks,active
PM-MOTOR-M-137,M-137-TASK-01,M-137,PLANT-A/AREA-2/MOTOR-8,Clean cooling fins and inspect fan cover,inspection,4,weeks,active
PM-MOTOR-M-137,M-137-TASK-02,M-137,PLANT-A/AREA-2/MOTOR-8,Check motor current and terminal condition,condition_based,4,weeks,active
PM-CONVEYOR-CV-138,CV-138-TASK-01,CV-138,PLANT-A/AREA-3/CONVEYOR-8,Inspect belt tracking and edge wear,inspection,8,weeks,active
PM-CONVEYOR-CV-138,CV-138-TASK-02,CV-138,PLANT-A/AREA-3/CONVEYOR-8,Inspect pulley bearings and guards,condition_based,8,weeks,active
PM-VALVE-V-139,V-139-TASK-01,V-139,PLANT-A/AREA-4/VALVE-8,Stroke test valve and actuator,inspection,12,weeks,active
PM-VALVE-V-139,V-139-TASK-02,V-139,PLANT-A/AREA-4/VALVE-8,Inspect packing and external leakage,condition_based,12,weeks,active
PM-COMPRESSOR-C-140,C-140-TASK-01,C-140,PLANT-A/AREA-5/COMPRESSOR-8,Inspect oil level and separator condition,inspection,4,weeks,active
PM-COMPRESSOR-C-140,C-140-TASK-02,C-140,PLANT-A/AREA-5/COMPRESSOR-8,Check discharge temperature and vibration,condition_based,4,weeks,active
PM-FAN-F-141,F-141-TASK-01,F-141,PLANT-A/AREA-1/FAN-9,Inspect fan vibration and belt tension,inspection,8,weeks,active
PM-FAN-F-141,F-141-TASK-02,F-141,PLANT-A/AREA-1/FAN-9,Inspect bearing temperature and lubrication,condition_based,8,weeks,active
PM-HEAT-EXCHANGER-HX-142,HX-142-TASK-01,HX-142,PLANT-A/AREA-2/HEAT-EXCHANGER-9,Inspect temperature approach and pressure drop,inspection,12,weeks,active
PM-HEAT-EXCHANGER-HX-142,HX-142-TASK-02,HX-142,PLANT-A/AREA-2/HEAT-EXCHANGER-9,Inspect for external leakage and corrosion,condition_based,12,weeks,active
PM-PUMP-P-143,P-143-TASK-01,P-143,PLANT-A/AREA-3/PUMP-9,Inspect vibration and bearing temperature,inspection,4,weeks,active
PM-PUMP-P-143,P-143-TASK-02,P-143,PLANT-A/AREA-3/PUMP-9,Inspect mechanical seal leakage,condition_based,4,weeks,active
PM-MOTOR-M-144,M-144-TASK-01,M-144,PLANT-A/AREA-4/MOTOR-9,Clean cooling fins and inspect fan cover,inspection,8,weeks,active
PM-MOTOR-M-144,M-144-TASK-02,M-144,PLANT-A/AREA-4/MOTOR-9,Check motor current and terminal condition,condition_based,8,weeks,active
PM-CONVEYOR-CV-145,CV-145-TASK-01,CV-145,PLANT-A/AREA-5/CONVEYOR-9,Inspect belt tracking and edge wear,inspection,12,weeks,active
PM-CONVEYOR-CV-145,CV-145-TASK-02,CV-145,PLANT-A/AREA-5/CONVEYOR-9,Inspect pulley bearings and guards,condition_based,12,weeks,active
PM-VALVE-V-146,V-146-TASK-01,V-146,PLANT-A/AREA-1/VALVE-10,Stroke test valve and actuator,inspection,4,weeks,active
PM-VALVE-V-146,V-146-TASK-02,V-146,PLANT-A/AREA-1/VALVE-10,Inspect packing and external leakage,condition_based,4,weeks,active
PM-COMPRESSOR-C-147,C-147-TASK-01,C-147,PLANT-A/AREA-2/COMPRESSOR-10,Inspect oil level and separator condition,inspection,8,weeks,active
PM-COMPRESSOR-C-147,C-147-TASK-02,C-147,PLANT-A/AREA-2/COMPRESSOR-10,Check discharge temperature and vibration,condition_based,8,weeks,active
PM-FAN-F-148,F-148-TASK-01,F-148,PLANT-A/AREA-3/FAN-10,Inspect fan vibration and belt tension,inspection,12,weeks,active
PM-FAN-F-148,F-148-TASK-02,F-148,PLANT-A/AREA-3/FAN-10,Inspect bearing temperature and lubrication,condition_based,12,weeks,active
PM-HEAT-EXCHANGER-HX-149,HX-149-TASK-01,HX-149,PLANT-A/AREA-4/HEAT-EXCHANGER-10,Inspect temperature approach and pressure drop,inspection,4,weeks,active
PM-HEAT-EXCHANGER-HX-149,HX-149-TASK-02,HX-149,PLANT-A/AREA-4/HEAT-EXCHANGER-10,Inspect for external leakage and corrosion,condition_based,4,weeks,active
PM-PUMP-P-150,P-150-TASK-01,P-150,PLANT-A/AREA-5/PUMP-10,Inspect vibration and bearing temperature,inspection,8,weeks,active
PM-PUMP-P-150,P-150-TASK-02,P-150,PLANT-A/AREA-5/PUMP-10,Inspect mechanical seal leakage,condition_based,8,weeks,active
