order_number,notification_number,equipment_number,functional_location,order_type,status,priority,maintenance_activity_type,short_text,long_text,created_at_source,required_by_at,started_at,finished_at,total_cost,downtime_hours
WO-2023011,N-910011,HX-121,PLANT-A/AREA-1/HEAT-EXCHANGER-5,CM,closed,medium,corrective,Tube leak on Heat exchanger asset 21,Tube leak identified on HX-121 during operation. Corrective work completed and asset returned to service.,2023-01-16T06:00:00+00:00,2023-01-17T06:00:00+00:00,2023-01-16T09:00:00+00:00,2023-01-16T12:30:00+00:00,2550.00,3.50
WO-2023012,,V-139,PLANT-A/AREA-4/VALVE-8,INSP,closed,high,inspection,Inspect condition of Valve asset 39,Inspection completed on V-139; observations recorded for reliability trending.,2023-01-17T18:00:00+00:00,2023-01-19T18:00:00+00:00,2023-01-17T22:00:00+00:00,2023-01-17T22:30:00+00:00,200.00,0.00
WO-2023013,N-910013,F-106,PLANT-A/AREA-1/FAN-2,EM,closed,high,emergency,Belt slippage on Fan asset 06,Belt slippage identified on F-106 during operation. Corrective work completed and asset returned to service.,2023-01-19T06:00:00+00:00,2023-01-22T06:00:00+00:00,2023-01-19T11:00:00+00:00,2023-01-19T21:30:00+00:00,4580.00,10.50
WO-2023014,N-910014,M-123,PLANT-A/AREA-3/MOTOR-5,CM,closed,low,corrective,Overheating on Motor asset 23,Overheating identified on M-123 during operation. Corrective work completed and asset returned to service.,2023-01-20T18:00:00+00:00,2023-01-24T18:00:00+00:00,2023-01-21T00:00:00+00:00,2023-01-21T03:00:00+00:00,2895.00,3.00
WO-2023015,,C-140,PLANT-A/AREA-5/COMPRESSOR-8,INSP,closed,medium,inspection,Inspect condition of Compressor asset 40,Inspection completed on C-140; observations recorded for reliability trending.,2023-01-22T06:00:00+00:00,2023-01-27T06:00:00+00:00,2023-01-22T13:00:00+00:00,2023-01-22T13:30:00+00:00,120.00,0.00
WO-2023016,N-910016,HX-107,PLANT-A/AREA-2/HEAT-EXCHANGER-2,EM,closed,medium,emergency,Tube fouling on Heat exchanger asset 07,Tube fouling identified on HX-107 during operation. Corrective work completed and asset returned to service.,2023-01-23T18:00:00+00:00,2023-01-24T18:00:00+00:00,2023-01-24T02:00:00+00:00,2023-01-24T12:00:00+00:00,4925.00,10.00
WO-2023017,,CV-124,PLANT-A/AREA-4/CONVEYOR-5,PM,closed,medium,preventive,Complete scheduled PM on Conveyor asset 24,Preventive maintenance completed on CV-124 with no immediate defect recorded.,2023-01-25T06:00:00+00:00,2023-01-27T06:00:00+00:00,2023-01-25T15:00:00+00:00,2023-01-25T15:30:00+00:00,355.00,0.00
WO-2023018,N-910018,F-141,PLANT-A/AREA-1/FAN-9,CM,closed,high,corrective,Bearing failure on Fan asset 41,Bearing failure identified on F-141 during operation. Corrective work completed and asset returned to service.,2023-01-21T19:00:00+00:00,2023-01-24T19:00:00+00:00,2023-01-22T05:00:00+00:00,2023-01-22T11:00:00+00:00,3355.00,6.00
WO-2023019,N-910019,P-108,PLANT-A/AREA-3/PUMP-2,CMON,closed,low,condition_monitoring,Cavitation on Pump asset 08,Cavitation identified on P-108 during operation. Corrective work completed and asset returned to service.,2023-01-23T07:00:00+00:00,2023-01-27T07:00:00+00:00,2023-01-23T09:00:00+00:00,2023-01-23T18:30:00+00:00,2920.00,0.00
WO-2023020,N-910020,V-125,PLANT-A/AREA-5/VALVE-5,CM,closed,medium,corrective,Passing valve on Valve asset 25,Passing valve identified on V-125 during operation. Corrective work completed and asset returned to service.,2023-01-24T19:00:00+00:00,2023-01-29T19:00:00+00:00,2023-01-24T22:00:00+00:00,2023-01-25T00:00:00+00:00,3585.00,2.00
WO-2023021,,HX-142,PLANT-A/AREA-2/HEAT-EXCHANGER-9,PM,closed,low,preventive,Complete scheduled PM on Heat exchanger asset 42,Preventive maintenance completed on HX-142 with no immediate defect recorded.,2023-01-26T07:00:00+00:00,2023-01-27T07:00:00+00:00,2023-01-26T11:00:00+00:00,2023-01-26T11:30:00+00:00,230.00,0.00
WO-2023022,N-910022,M-109,PLANT-A/AREA-4/MOTOR-2,CM,closed,high,corrective,Bearing failure on Motor asset 09,Bearing failure identified on M-109 during operation. Corrective work completed and asset returned to service.,2023-01-27T19:00:00+00:00,2023-01-29T19:00:00+00:00,2023-01-28T00:00:00+00:00,2023-01-28T09:00:00+00:00,3815.00,9.00
WO-2023023,,F-127,PLANT-A/AREA-2/FAN-6,INSP,closed,high,inspection,Inspect condition of Fan asset 27,Inspection completed on F-127; observations recorded for reliability trending.,2023-01-29T07:00:00+00:00,2023-02-01T07:00:00+00:00,2023-01-29T13:00:00+00:00,2023-01-29T13:30:00+00:00,140.00,0.00
WO-2023024,N-910024,M-144,PLANT-A/AREA-4/MOTOR-9,EM,closed,low,emergency,Insulation breakdown on Motor asset 44,Insulation breakdown identified on M-144 during operation. Corrective work completed and asset returned to service.,2023-01-30T19:00:00+00:00,2023-02-03T19:00:00+00:00,2023-01-31T02:00:00+00:00,2023-01-31T07:00:00+00:00,5845.00,5.00
WO-2023025,,V-111,PLANT-A/AREA-1/VALVE-3,PM,closed,high,preventive,Complete scheduled PM on Valve asset 11,Preventive maintenance completed on V-111 with no immediate defect recorded.,2023-02-01T07:00:00+00:00,2023-02-06T07:00:00+00:00,2023-02-01T15:00:00+00:00,2023-02-01T15:30:00+00:00,330.00,0.00
WO-2023026,N-910026,HX-128,PLANT-A/AREA-3/HEAT-EXCHANGER-6,CM,closed,medium,corrective,Tube leak on Heat exchanger asset 28,Tube leak identified on HX-128 during operation. Corrective work completed and asset returned to service.,2023-02-02T19:00:00+00:00,2023-02-03T19:00:00+00:00,2023-02-03T04:00:00+00:00,2023-02-03T16:00:00+00:00,4275.00,12.00
WO-2023027,N-910027,CV-145,PLANT-A/AREA-5/CONVEYOR-9,EM,closed,high,emergency,Belt damage on Conveyor asset 45,Belt damage identified on CV-145 during operation. Corrective work completed and asset returned to service.,2023-02-04T07:00:00+00:00,2023-02-06T07:00:00+00:00,2023-02-04T17:00:00+00:00,2023-02-04T21:30:00+00:00,6190.00,4.50
WO-2023028,,C-112,PLANT-A/AREA-2/COMPRESSOR-3,PM,closed,medium,preventive,Complete scheduled PM on Compressor asset 12,Preventive maintenance completed on C-112 with no immediate defect recorded.,2023-02-05T19:00:00+00:00,2023-02-08T19:00:00+00:00,2023-02-05T21:00:00+00:00,2023-02-05T21:30:00+00:00,180.00,0.00
WO-2023029,N-910029,P-129,PLANT-A/AREA-4/PUMP-6,CM,closed,low,corrective,Bearing failure on Pump asset 29,Bearing failure identified on P-129 during operation. Corrective work completed and asset returned to service.,2023-02-07T07:00:00+00:00,2023-02-11T07:00:00+00:00,2023-02-07T10:00:00+00:00,2023-02-07T21:30:00+00:00,4620.00,11.50
WO-2023030,N-910030,V-146,PLANT-A/AREA-1/VALVE-10,CMON,closed,medium,condition_monitoring,Actuator failure on Valve asset 46,Actuator failure identified on V-146 during operation. Corrective work completed and asset returned to service.,2023-02-08T19:00:00+00:00,2023-02-13T19:00:00+00:00,2023-02-08T23:00:00+00:00,2023-02-09T03:00:00+00:00,4185.00,0.00
WO-2023031,N-910031,F-113,PLANT-A/AREA-3/FAN-3,CM,closed,medium,corrective,Belt slippage on Fan asset 13,Belt slippage identified on F-113 during operation. Corrective work completed and asset returned to service.,2023-02-10T07:00:00+00:00,2023-02-11T07:00:00+00:00,2023-02-10T12:00:00+00:00,2023-02-10T19:30:00+00:00,4850.00,7.50
WO-2023032,,M-130,PLANT-A/AREA-5/MOTOR-6,PM,closed,medium,preventive,Complete scheduled PM on Motor asset 30,Preventive maintenance completed on M-130 with no immediate defect recorded.,2023-02-11T19:00:00+00:00,2023-02-13T19:00:00+00:00,2023-02-12T01:00:00+00:00,2023-02-12T01:30:00+00:00,280.00,0.00
WO-2023033,N-910033,C-147,PLANT-A/AREA-2/COMPRESSOR-10,CM,closed,high,corrective,Oil carryover on Compressor asset 47,Oil carryover identified on C-147 during operation. Corrective work completed and asset returned to service.,2023-02-13T07:00:00+00:00,2023-02-16T07:00:00+00:00,2023-02-13T14:00:00+00:00,2023-02-13T17:30:00+00:00,1515.00,3.50
WO-2023034,,P-115,PLANT-A/AREA-5/PUMP-3,INSP,closed,low,inspection,Inspect condition of Pump asset 15,Inspection completed on P-115; observations recorded for reliability trending.,2023-02-14T19:00:00+00:00,2023-02-18T19:00:00+00:00,2023-02-15T03:00:00+00:00,2023-02-15T03:30:00+00:00,220.00,0.00
WO-2023035,N-910035,V-132,PLANT-A/AREA-2/VALVE-7,EM,closed,medium,emergency,Passing valve on Valve asset 32,Passing valve identified on V-132 during operation. Corrective work completed and asset returned to service.,2023-02-11T08:00:00+00:00,2023-02-16T08:00:00+00:00,2023-02-11T17:00:00+00:00,2023-02-12T03:30:00+00:00,3545.00,10.50
WO-2023036,,HX-149,PLANT-A/AREA-4/HEAT-EXCHANGER-10,PM,closed,low,preventive,Complete scheduled PM on Heat exchanger asset 49,Preventive maintenance completed on HX-149 with no immediate defect recorded.,2023-02-12T20:00:00+00:00,2023-02-13T20:00:00+00:00,2023-02-13T06:00:00+00:00,2023-02-13T06:30:00+00:00,380.00,0.00
WO-2023037,N-910037,M-116,PLANT-A/AREA-1/MOTOR-4,CM,closed,high,corrective,Bearing failure on Motor asset 16,Bearing failure identified on M-116 during operation. Corrective work completed and asset returned to service.,2023-02-14T08:00:00+00:00,2023-02-16T08:00:00+00:00,2023-02-14T10:00:00+00:00,2023-02-14T16:30:00+00:00,1975.00,6.50
WO-2023038,N-910038,C-133,PLANT-A/AREA-3/COMPRESSOR-7,CMON,closed,high,condition_monitoring,High discharge temperature on Compressor asset 33,High discharge temperature identified on C-133 during operation. Corrective work completed and asset returned to service.,2023-02-15T20:00:00+00:00,2023-02-18T20:00:00+00:00,2023-02-15T23:00:00+00:00,2023-02-16T09:00:00+00:00,1540.00,0.00
WO-2023039,N-910039,P-150,PLANT-A/AREA-5/PUMP-10,CM,closed,low,corrective,Seal leakage on Pump asset 50,Seal leakage identified on P-150 during operation. Corrective work completed and asset returned to service.,2023-02-17T08:00:00+00:00,2023-02-21T08:00:00+00:00,2023-02-17T12:00:00+00:00,2023-02-17T14:30:00+00:00,2205.00,2.50
WO-2023040,N-910040,CV-117,PLANT-A/AREA-2/CONVEYOR-4,CM,closed,medium,corrective,Belt mistracking on Conveyor asset 17,Belt mistracking identified on CV-117 during operation. Corrective work completed and asset returned to service.,2023-02-18T20:00:00+00:00,2023-02-23T20:00:00+00:00,2023-02-19T01:00:00+00:00,2023-02-19T07:00:00+00:00,2320.00,6.00
WO-2023041,N-910041,F-134,PLANT-A/AREA-4/FAN-7,CMON,closed,medium,condition_monitoring,Imbalance on Fan asset 34,Imbalance identified on F-134 during operation. Corrective work completed and asset returned to service.,2023-02-20T08:00:00+00:00,2023-02-21T08:00:00+00:00,2023-02-20T14:00:00+00:00,2023-02-20T23:30:00+00:00,1885.00,0.00
WO-2023042,N-910042,P-101,PLANT-A/AREA-1/PUMP-1,CM,closed,high,corrective,Seal leakage on Pump asset 01,Seal leakage identified on P-101 during operation. Corrective work completed and asset returned to service.,2023-02-21T20:00:00+00:00,2023-02-23T20:00:00+00:00,2023-02-22T03:00:00+00:00,2023-02-22T05:00:00+00:00,2550.00,2.00
WO-2023043,,V-118,PLANT-A/AREA-3/VALVE-4,PM,closed,medium,preventive,Complete scheduled PM on Valve asset 18,Preventive maintenance completed on V-118 with no immediate defect recorded.,2023-02-23T08:00:00+00:00,2023-02-26T08:00:00+00:00,2023-02-23T16:00:00+00:00,2023-02-23T16:30:00+00:00,330.00,0.00
WO-2023044,N-910044,HX-135,PLANT-A/AREA-5/HEAT-EXCHANGER-7,CM,closed,low,corrective,Tube leak on Heat exchanger asset 35,Tube leak identified on HX-135 during operation. Corrective work completed and asset returned to service.,2023-02-24T20:00:00+00:00,2023-02-28T20:00:00+00:00,2023-02-25T05:00:00+00:00,2023-02-25T14:00:00+00:00,2780.00,9.00
WO-2023045,,CV-103,PLANT-A/AREA-3/CONVEYOR-1,INSP,closed,medium,inspection,Inspect condition of Conveyor asset 03,Inspection completed on CV-103; observations recorded for reliability trending.,2023-02-26T08:00:00+00:00,2023-03-03T08:00:00+00:00,2023-02-26T18:00:00+00:00,2023-02-26T18:30:00+00:00,160.00,0.00
WO-2023046,N-910046,F-120,PLANT-A/AREA-5/FAN-4,EM,closed,medium,emergency,Belt slippage on Fan asset 20,Belt slippage identified on F-120 during operation. Corrective work completed and asset returned to service.,2023-02-27T20:00:00+00:00,2023-02-28T20:00:00+00:00,2023-02-27T22:00:00+00:00,2023-02-28T03:00:00+00:00,4810.00,5.00
WO-2023047,,M-137,PLANT-A/AREA-2/MOTOR-8,PM,closed,medium,preventive,Complete scheduled PM on Motor asset 37,Preventive maintenance completed on M-137 with no immediate defect recorded.,2023-03-01T08:00:00+00:00,2023-03-03T08:00:00+00:00,2023-03-01T11:00:00+00:00,2023-03-01T11:30:00+00:00,205.00,0.00
WO-2023048,N-910048,V-104,PLANT-A/AREA-4/VALVE-1,CM,closed,high,corrective,Actuator failure on Valve asset 04,Actuator failure identified on V-104 during operation. Corrective work completed and asset returned to service.,2023-03-02T20:00:00+00:00,2023-03-05T20:00:00+00:00,2023-03-03T00:00:00+00:00,2023-03-03T12:00:00+00:00,3240.00,12.00
WO-2023049,N-910049,HX-121,PLANT-A/AREA-1/HEAT-EXCHANGER-5,CMON,closed,low,condition_monitoring,Tube fouling on Heat exchanger asset 21,Tube fouling identified on HX-121 during operation. Corrective work completed and asset returned to service.,2023-03-04T08:00:00+00:00,2023-03-08T08:00:00+00:00,2023-03-04T13:00:00+00:00,2023-03-04T17:30:00+00:00,2805.00,0.00
WO-2023050,N-910050,CV-138,PLANT-A/AREA-3/CONVEYOR-8,CM,closed,medium,corrective,Pulley bearing failure on Conveyor asset 38,Pulley bearing failure identified on CV-138 during operation. Corrective work completed and asset returned to service.,2023-03-05T20:00:00+00:00,2023-03-10T20:00:00+00:00,2023-03-06T02:00:00+00:00,2023-03-06T10:00:00+00:00,3470.00,8.00
WO-2023051,,C-105,PLANT-A/AREA-5/COMPRESSOR-1,PM,closed,low,preventive,Complete scheduled PM on Compressor asset 05,Preventive maintenance completed on C-105 with no immediate defect recorded.,2023-03-07T08:00:00+00:00,2023-03-08T08:00:00+00:00,2023-03-07T15:00:00+00:00,2023-03-07T15:30:00+00:00,305.00,0.00
WO-2023052,N-910052,P-122,PLANT-A/AREA-2/PUMP-5,CM,closed,high,corrective,Cavitation on Pump asset 22,Cavitation identified on P-122 during operation. Corrective work completed and asset returned to service.,2023-03-03T21:00:00+00:00,2023-03-05T21:00:00+00:00,2023-03-04T05:00:00+00:00,2023-03-04T09:00:00+00:00,3700.00,4.00
WO-2023053,N-910053,V-139,PLANT-A/AREA-4/VALVE-8,CM,closed,high,corrective,Passing valve on Valve asset 39,Passing valve identified on V-139 during operation. Corrective work completed and asset returned to service.,2023-03-05T09:00:00+00:00,2023-03-08T09:00:00+00:00,2023-03-05T18:00:00+00:00,2023-03-06T01:30:00+00:00,3815.00,7.50
WO-2023054,,F-106,PLANT-A/AREA-1/FAN-2,PM,closed,high,preventive,Complete scheduled PM on Fan asset 06,Preventive maintenance completed on F-106 with no immediate defect recorded.,2023-03-06T21:00:00+00:00,2023-03-10T21:00:00+00:00,2023-03-07T07:00:00+00:00,2023-03-07T07:30:00+00:00,380.00,0.00
WO-2023055,N-910055,M-123,PLANT-A/AREA-3/MOTOR-5,CM,closed,medium,corrective,Bearing failure on Motor asset 23,Bearing failure identified on M-123 during operation. Corrective work completed and asset returned to service.,2023-03-08T09:00:00+00:00,2023-03-13T09:00:00+00:00,2023-03-08T11:00:00+00:00,2023-03-08T14:30:00+00:00,4045.00,3.50
WO-2023056,,F-141,PLANT-A/AREA-1/FAN-9,INSP,closed,medium,inspection,Inspect condition of Fan asset 41,Inspection completed on F-141; observations recorded for reliability trending.,2023-03-09T21:00:00+00:00,2023-03-10T21:00:00+00:00,2023-03-10T00:00:00+00:00,2023-03-10T00:30:00+00:00,240.00,0.00
WO-2023057,N-910057,P-108,PLANT-A/AREA-3/PUMP-2,EM,closed,high,emergency,Seal leakage on Pump asset 08,Seal leakage identified on P-108 during operation. Corrective work completed and asset returned to service.,2023-03-11T09:00:00+00:00,2023-03-13T09:00:00+00:00,2023-03-11T13:00:00+00:00,2023-03-11T23:30:00+00:00,6075.00,10.50
WO-2023058,,V-125,PLANT-A/AREA-5/VALVE-5,PM,closed,medium,preventive,Complete scheduled PM on Valve asset 25,Preventive maintenance completed on V-125 with no immediate defect recorded.,2023-03-12T21:00:00+00:00,2023-03-15T21:00:00+00:00,2023-03-13T02:00:00+00:00,2023-03-13T02:30:00+00:00,255.00,0.00
WO-2023059,N-910059,HX-142,PLANT-A/AREA-2/HEAT-EXCHANGER-9,CM,closed,low,corrective,Tube leak on Heat exchanger asset 42,Tube leak identified on HX-142 during operation. Corrective work completed and asset returned to service.,2023-03-14T09:00:00+00:00,2023-03-18T09:00:00+00:00,2023-03-14T15:00:00+00:00,2023-03-14T21:30:00+00:00,4505.00,6.50
WO-2023060,N-910060,M-109,PLANT-A/AREA-4/MOTOR-2,CMON,closed,medium,condition_monitoring,Insulation breakdown on Motor asset 09,Insulation breakdown identified on M-109 during operation. Corrective work completed and asset returned to service.,2023-03-15T21:00:00+00:00,2023-03-20T21:00:00+00:00,2023-03-16T04:00:00+00:00,2023-03-16T14:00:00+00:00,4070.00,0.00
WO-2023061,N-910061,C-126,PLANT-A/AREA-1/COMPRESSOR-6,CM,closed,medium,corrective,Low capacity on Compressor asset 26,Low capacity identified on C-126 during operation. Corrective work completed and asset returned to service.,2023-03-17T09:00:00+00:00,2023-03-18T09:00:00+00:00,2023-03-17T17:00:00+00:00,2023-03-17T19:30:00+00:00,4735.00,2.50
WO-2023062,,P-143,PLANT-A/AREA-3/PUMP-9,PM,closed,medium,preventive,Complete scheduled PM on Pump asset 43,Preventive maintenance completed on P-143 with no immediate defect recorded.,2023-03-18T21:00:00+00:00,2023-03-20T21:00:00+00:00,2023-03-19T06:00:00+00:00,2023-03-19T06:30:00+00:00,355.00,0.00
WO-2023063,N-910063,CV-110,PLANT-A/AREA-5/CONVEYOR-2,CM,closed,high,corrective,Belt damage on Conveyor asset 10,Belt damage identified on CV-110 during operation. Corrective work completed and asset returned to service.,2023-03-20T09:00:00+00:00,2023-03-23T09:00:00+00:00,2023-03-20T19:00:00+00:00,2023-03-21T04:30:00+00:00,1400.00,9.50
WO-2023064,,F-127,PLANT-A/AREA-2/FAN-6,INSP,closed,low,inspection,Inspect condition of Fan asset 27,Inspection completed on F-127; observations recorded for reliability trending.,2023-03-21T21:00:00+00:00,2023-03-25T21:00:00+00:00,2023-03-21T23:00:00+00:00,2023-03-21T23:30:00+00:00,120.00,0.00
WO-2023065,N-910065,M-144,PLANT-A/AREA-4/MOTOR-9,EM,closed,medium,emergency,Overheating on Motor asset 44,Overheating identified on M-144 during operation. Corrective work completed and asset returned to service.,2023-03-23T09:00:00+00:00,2023-03-28T09:00:00+00:00,2023-03-23T12:00:00+00:00,2023-03-23T17:30:00+00:00,3430.00,5.50
WO-2023066,N-910066,V-111,PLANT-A/AREA-1/VALVE-3,CM,closed,medium,corrective,Actuator failure on Valve asset 11,Actuator failure identified on V-111 during operation. Corrective work completed and asset returned to service.,2023-03-24T21:00:00+00:00,2023-03-25T21:00:00+00:00,2023-03-25T01:00:00+00:00,2023-03-25T10:00:00+00:00,1745.00,9.00
WO-2023067,,P-129,PLANT-A/AREA-4/PUMP-6,INSP,closed,high,inspection,Inspect condition of Pump asset 29,Inspection completed on P-129; observations recorded for reliability trending.,2023-03-26T09:00:00+00:00,2023-03-28T09:00:00+00:00,2023-03-26T14:00:00+00:00,2023-03-26T14:30:00+00:00,180.00,0.00
WO-2023068,N-910068,V-146,PLANT-A/AREA-1/VALVE-10,EM,closed,high,emergency,Passing valve on Valve asset 46,Passing valve identified on V-146 during operation. Corrective work completed and asset returned to service.,2023-03-27T21:00:00+00:00,2023-03-30T21:00:00+00:00,2023-03-28T03:00:00+00:00,2023-03-28T08:00:00+00:00,3775.00,5.00
WO-2023069,,F-113,PLANT-A/AREA-3/FAN-3,PM,closed,high,preventive,Complete scheduled PM on Fan asset 13,Preventive maintenance completed on F-113 with no immediate defect recorded.,2023-03-24T10:00:00+00:00,2023-03-28T10:00:00+00:00,2023-03-24T17:00:00+00:00,2023-03-24T17:30:00+00:00,305.00,0.00
WO-2023070,N-910070,M-130,PLANT-A/AREA-5/MOTOR-6,CM,closed,medium,corrective,Bearing failure on Motor asset 30,Bearing failure identified on M-130 during operation. Corrective work completed and asset returned to service.,2023-03-25T22:00:00+00:00,2023-03-30T22:00:00+00:00,2023-03-26T06:00:00+00:00,2023-03-26T18:00:00+00:00,2205.00,12.00
WO-2023071,N-910071,C-147,PLANT-A/AREA-2/COMPRESSOR-10,CMON,closed,medium,condition_monitoring,High discharge temperature on Compressor asset 47,High discharge temperature identified on C-147 during operation. Corrective work completed and asset returned to service.,2023-03-27T10:00:00+00:00,2023-03-28T10:00:00+00:00,2023-03-27T19:00:00+00:00,2023-03-27T23:30:00+00:00,1770.00,0.00
WO-2023072,N-910072,HX-114,PLANT-A/AREA-4/HEAT-EXCHANGER-3,CM,closed,high,corrective,Low heat transfer on Heat exchanger asset 14,Low heat transfer identified on HX-114 during operation. Corrective work completed and asset returned to service.,2023-03-28T22:00:00+00:00,2023-03-30T22:00:00+00:00,2023-03-29T08:00:00+00:00,2023-03-29T16:00:00+00:00,2435.00,8.00
WO-2023073,,CV-131,PLANT-A/AREA-1/CONVEYOR-7,PM,closed,medium,preventive,Complete scheduled PM on Conveyor asset 31,Preventive maintenance completed on CV-131 with no immediate defect recorded.,2023-03-30T10:00:00+00:00,2023-04-02T10:00:00+00:00,2023-03-30T12:00:00+00:00,2023-03-30T12:30:00+00:00,180.00,0.00
WO-2023074,N-910074,F-148,PLANT-A/AREA-3/FAN-10,CM,closed,low,corrective,Imbalance on Fan asset 48,Imbalance identified on F-148 during operation. Corrective work completed and asset returned to service.,2023-03-31T22:00:00+00:00,2023-04-04T22:00:00+00:00,2023-04-01T01:00:00+00:00,2023-04-01T05:00:00+00:00,2665.00,4.00
WO-2023075,,P-115,PLANT-A/AREA-5/PUMP-3,INSP,closed,medium,inspection,Inspect condition of Pump asset 15,Inspection completed on P-115; observations recorded for reliability trending.,2023-04-02T10:00:00+00:00,2023-04-07T10:00:00+00:00,2023-04-02T14:00:00+00:00,2023-04-02T14:30:00+00:00,200.00,0.00
WO-2023076,N-910076,V-132,PLANT-A/AREA-2/VALVE-7,EM,closed,medium,emergency,Stem leakage on Valve asset 32,Stem leakage identified on V-132 during operation. Corrective work completed and asset returned to service.,2023-04-03T22:00:00+00:00,2023-04-04T22:00:00+00:00,2023-04-04T03:00:00+00:00,2023-04-04T14:00:00+00:00,4695.00,11.00
WO-2023077,,HX-149,PLANT-A/AREA-4/HEAT-EXCHANGER-10,PM,closed,medium,preventive,Complete scheduled PM on Heat exchanger asset 49,Preventive maintenance completed on HX-149 with no immediate defect recorded.,2023-04-05T10:00:00+00:00,2023-04-07T10:00:00+00:00,2023-04-05T16:00:00+00:00,2023-04-05T16:30:00+00:00,280.00,0.00
WO-2023078,N-910078,CV-117,PLANT-A/AREA-2/CONVEYOR-4,CM,closed,high,corrective,Belt damage on Conveyor asset 17,Belt damage identified on CV-117 during operation. Corrective work completed and asset returned to service.,2023-04-06T22:00:00+00:00,2023-04-09T22:00:00+00:00,2023-04-07T05:00:00+00:00,2023-04-07T12:00:00+00:00,3125.00,7.00
WO-2023079,N-910079,F-134,PLANT-A/AREA-4/FAN-7,EM,closed,low,emergency,Belt slippage on Fan asset 34,Belt slippage identified on F-134 during operation. Corrective work completed and asset returned to service.,2023-04-08T10:00:00+00:00,2023-04-12T10:00:00+00:00,2023-04-08T18:00:00+00:00,2023-04-09T04:30:00+00:00,5040.00,10.50
